City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Port Augusta,AU,93.34,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
131,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
135,Faanui,PF,80.78,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Mount Gambier,AU,89.51,clear sky,-37.8333,140.7667,The Commodore
137,Bundaberg,AU,89.22,overcast clouds,-24.85,152.35,Takalvan Motel
142,Port Macquarie,AU,82.36,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
165,Hithadhoo,MV,82.47,clear sky,-0.6,73.0833,Scoop Guest House
168,Kavieng,PG,83.59,light rain,-2.5744,150.7967,Nusa Island Retreat
179,Daru,PG,85.33,moderate rain,-9.0763,143.2092,Daru Lodge
199,Warragul,AU,93.7,scattered clouds,-38.1667,145.9333,Comfort Inn & Suites Warragul
201,Georgetown,MY,91.33,few clouds,5.4112,100.3354,Cititel Penang
206,Antalaha,MG,80.92,broken clouds,-14.9003,50.2788,Hotel Vitasoa
214,Mount Isa,AU,89.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
222,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
223,Bengkulu,ID,85.32,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
237,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
239,Morondava,MG,81.66,clear sky,-20.2833,44.2833,La Case Bambou
242,Mackay,AU,89.69,broken clouds,-21.15,149.2,International Lodge Motel
246,Kirakira,SB,84.22,broken clouds,-10.4544,161.9205,SanBiz Lodge
257,Mahibadhoo,MV,82.35,clear sky,3.7833,72.9667,Omadhoo Inn
262,Kudahuvadhoo,MV,82.27,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
265,Kamalapuram,IN,82.27,few clouds,14.5833,78.65,Hotel
266,Poso,ID,86.38,broken clouds,-1.3959,120.7524,Hotel 77 Poso
280,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
293,Kwinana,AU,86.34,scattered clouds,-32.25,115.7667,Rockingham Apartments
294,Kokopo,PG,84.9,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
298,Padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
302,Biak,ID,87.49,broken clouds,-0.9131,122.8766,Penginapan Kim
326,Pouebo,NC,81.82,overcast clouds,-20.4,164.5667,RIVÂT LODGE
333,Yulara,AU,84.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
338,Sibolga,ID,85.59,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
344,Ballina,AU,87.98,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
350,Banting,MY,89.73,broken clouds,2.8167,101.5,Hotel Intan Jugra
353,Buala,SB,83.8,light rain,-8.145,159.5921,Maringe Lagoon Lodge
363,Bitung,ID,90.45,scattered clouds,1.4451,125.1824,K2 Lembeh
365,Sabang,ID,81.55,broken clouds,5.8933,95.3214,Hotel Citra
379,Kloulklubed,PW,82.42,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
399,Namatanai,PG,84.25,light rain,-3.6667,152.4333,Seagulls Inn Namatani
400,Kanniyakumari,IN,83.08,few clouds,8.0833,77.5667,Sparsa
403,Voh,NC,82.85,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
404,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
413,Meulaboh,ID,86.23,broken clouds,4.1363,96.1285,Kost Pria
433,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
434,Vaitape,PF,80.78,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
444,Port Keats,AU,84.2,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
451,Hambantota,LK,80.94,light rain,6.1241,81.1185,Bungalow 63
454,Emerald,AU,94.33,broken clouds,-23.5333,148.1667,The Irish Village
461,Saint-Joseph,RE,82.76,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
471,Kiama,AU,83.25,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
478,Neiafu,TO,81.25,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
483,Port Blair,IN,80.64,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
506,Balabac,PH,84.0,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
510,Saint-Pierre,RE,83.84,broken clouds,-21.3393,55.4781,Lindsey Hôtel
533,Banda Aceh,ID,85.01,scattered clouds,5.5577,95.3222,Sulthan Hotel International
535,Mitsamiouli,KM,81.66,few clouds,-11.3847,43.2844,Foyer ADM
541,Kiunga,PG,91.38,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
546,Kimbe,PG,83.61,light rain,-5.5502,150.1429,Kimbe Bay Hotel
549,Ambon,ID,91.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
569,Kendari,ID,88.99,light rain,-3.945,122.4989,Hotel Wixel
581,Tual,ID,83.88,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
591,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
610,Bongaree,AU,90.21,few clouds,-27.0797,153.1586,The Gums Anchorage
618,Kulhudhuffushi,MV,81.57,few clouds,6.6221,73.07,Haajy Guest House 1
638,Newcastle,AU,84.65,few clouds,-32.9272,151.7765,NOAH'S on the beach
647,Nattam,IN,82.85,scattered clouds,10.2333,78.2333,JPM Lodge
657,Nabire,ID,85.1,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
662,Mahina,PF,82.17,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
665,Kuching,MY,88.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
671,Cap Malheureux,MU,85.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
694,Bowen,AU,84.22,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
